Transaction ID | Book ID | Checkout Date | Return Date | Member ID 
1, 8, 10/8/2018, 10/9/2018, 1234 
2, 8, 11/9/2018, 7/10/2018, 8888 
3, 2, 12/10/2018, 14/11/2018, 1111 
4, 3, 4/05/2018, 16/01/2019, 2612 
5, 1, 4/05/2019, 6/07/2019, 1234 
6, 1, 10/05/2019, 11/07/2019, 4222 
7, 8, 12/05/2019, 14/05/2019, 1234 
8, 2, 13/06/2019, 14/06/2019, 4222 
9, 2, 15/08/2019, 16/09/2019, 1234 
10, 3, 20/08/2019, 22/09/2019, 1234 
11, 4, 22/08/2019, 20/09/2019, 2612 
12, 5, 23/09/2019, 25/10/2019, 8888 
13, 6, 25/09/2019, 12/10/2019, 1234 
14, 8, 28/09/2019, 29/09/2019, 1234 
15, 9, 01/10/2019, 29/10/2019, 1234 
16, 7, 02/10/2019, 26/10/2019, 2612 
17, 10, 05/10/2019, 11/11/2019, 4222 
18, 11, 07/10/2019, 08/11/2019, 8888 
19, 12, 08/10/2019, 19/10/2019, 4321 
20, 6, 08/10/2019, 12/10/2019, 1234 
21, 8, 12/10/2019, 20/10/2019, 1111 
22, 3, 15/10/2019, 20/10/2019, 1111 
