8,10/8/2018,10/9/2018,1234
8,11/9/2018,7/10/2018,8888
2,12/10/2018,14/11/2018,1111
3,4/05/2018,16/01/2019,2612
1,4/05/2019,6/07/2019,1234
1,10/05/2019,11/07/2019,4222
8,12/05/2019,14/05/2019,1234
2,13/06/2019,14/06/2019,4222
2,15/08/2019,16/09/2019,1234
3,20/08/2019,22/09/2019,1234
4,22/08/2019,20/09/2019,2612
5,23/09/2019,25/10/2019,8888
6,25/09/2019,12/10/2019,1234
8,28/09/2019,29/09/2019,1234
9,01/10/2019,29/10/2019,1234
7,02/10/2019,26/10/2019,2612
10,05/10/2019,11/11/2019,4222
11,07/10/2019,08/11/2019,8888
12,08/10/2019,19/10/2019,4321
6,08/10/2019,12/10/2019,1234
8,12/10/2019,20/10/2019,1111
3,15/10/2019,20/10/2019,1111
